               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083711,            0.049093,            0.038909,              0.5014,             0.46548,             0.37904,             0.17823,            0.063774,            0.033979,             0.02081,            0.070132,           0.0033187,           0.0033187
                   1,            0.064517,            0.042568,            0.020149,             0.53653,             0.53005,             0.52341,             0.22046,            0.060154,            0.032411,            0.014453,            0.039868,           0.0063886,           0.0063886
                   2,            0.060893,            0.042274,            0.016212,             0.55069,             0.53028,             0.51421,             0.25321,            0.056446,            0.032905,            0.013234,           0.0093407,           0.0091945,           0.0091945
                   3,             0.05591,            0.043803,            0.015104,             0.66057,             0.57637,             0.62882,             0.33214,            0.049579,             0.03458,            0.012848,            0.008812,            0.008812,            0.008812
                   4,            0.052988,            0.044343,            0.014308,             0.66659,               0.547,             0.60976,             0.34593,            0.048868,             0.03518,            0.012942,            0.008812,            0.008812,            0.008812
                   5,            0.050652,            0.043812,            0.013742,             0.68305,             0.51956,             0.58389,             0.33228,             0.04925,            0.035525,            0.013293,            0.008416,            0.008416,            0.008416
                   6,            0.049486,            0.043645,            0.013296,             0.70472,             0.57025,             0.61872,              0.3581,            0.047855,            0.035065,            0.012231,             0.00802,             0.00802,             0.00802
                   7,             0.04849,            0.043713,              0.0128,              0.6802,             0.53793,              0.5955,             0.35824,            0.046414,            0.035786,            0.013072,            0.007624,            0.007624,            0.007624
                   8,             0.04746,            0.043065,            0.012282,             0.70372,             0.60132,             0.65084,             0.39682,            0.046125,            0.034511,            0.011665,            0.007228,            0.007228,            0.007228
                   9,             0.04658,            0.042705,            0.011707,             0.68223,             0.57603,             0.61218,             0.36267,            0.046296,             0.03576,             0.01263,            0.006832,            0.006832,            0.006832
                  10,            0.045938,            0.043162,            0.011572,             0.66738,             0.56765,             0.61198,             0.37614,            0.045642,            0.034926,            0.012498,            0.006436,            0.006436,            0.006436
                  11,            0.045491,            0.041631,            0.011162,             0.69979,             0.58122,             0.63293,             0.39129,            0.044923,            0.034985,            0.012648,             0.00604,             0.00604,             0.00604
                  12,             0.04474,            0.041536,            0.010841,             0.69954,             0.58304,              0.6502,             0.39806,            0.044534,             0.03466,            0.011215,            0.005644,            0.005644,            0.005644
                  13,            0.044061,            0.041574,             0.01049,             0.71609,             0.60905,              0.6499,             0.40021,            0.044232,            0.034359,            0.012083,            0.005248,            0.005248,            0.005248
                  14,            0.043173,            0.041351,           0.0099207,             0.71456,             0.58117,             0.65105,             0.40902,            0.043939,            0.034562,            0.011687,            0.004852,            0.004852,            0.004852
                  15,            0.042618,             0.03933,           0.0096436,             0.71061,             0.59757,             0.65972,             0.41951,            0.043835,            0.034142,            0.011841,            0.004456,            0.004456,            0.004456
                  16,            0.042124,            0.039537,           0.0095311,             0.71878,             0.61813,             0.66912,             0.43083,            0.043609,            0.034356,            0.011581,             0.00406,             0.00406,             0.00406
                  17,            0.041438,            0.039211,           0.0091137,             0.73617,             0.59218,             0.66786,             0.42543,             0.04338,            0.034318,            0.011898,            0.003664,            0.003664,            0.003664
                  18,             0.04116,            0.038392,           0.0088126,              0.7182,             0.61614,             0.66951,             0.43142,            0.042873,            0.033997,            0.011691,            0.003268,            0.003268,            0.003268
                  19,            0.040544,            0.038871,           0.0084882,             0.73557,             0.60952,             0.67975,             0.44253,            0.042466,            0.033765,              0.0114,            0.002872,            0.002872,            0.002872
                  20,            0.040242,            0.038091,           0.0082577,             0.72314,             0.60118,             0.67061,             0.43489,            0.042697,            0.034047,            0.011022,            0.002476,            0.002476,            0.002476
                  21,             0.03965,            0.037521,           0.0080532,             0.72206,               0.614,             0.67859,             0.44446,            0.042175,            0.033717,            0.011365,             0.00208,             0.00208,             0.00208
                  22,            0.039524,            0.037465,           0.0078691,              0.7298,             0.59629,             0.67291,             0.44833,            0.042136,            0.033918,            0.011132,            0.001684,            0.001684,            0.001684
                  23,              0.0388,            0.035862,           0.0075039,             0.75228,             0.60308,             0.68156,              0.4532,            0.041884,            0.033611,            0.010952,            0.001288,            0.001288,            0.001288
                  24,            0.038868,            0.036691,           0.0073816,             0.73466,             0.62093,             0.68639,             0.45575,            0.041619,            0.033574,            0.011004,            0.000892,            0.000892,            0.000892
